Region,Country,Source Name,Type,Bias / Lean,Language,Notes,RSS_URL
North America,United States,The New York Times,Newspaper / Digital,Center-Left,English,Paper of record; extensive investigative journalism,https://rss.nytimes.com/services/xml/rss/nf/HomePage.xml
North America,United States,The Washington Post,Newspaper / Digital,Center-Left,English,Strong political coverage; owned by Jeff Bezos,https://feeds.washingtonpost.com/rss/homepage
North America,United States,The Wall Street Journal,Newspaper / Digital,Center-Right,English,Business focus; News Corpowned; news vs. editorial distinction,https://feeds.a.dj.com/rss/RSSWorldNews.xml
North America,United States,USA Today,Newspaper / Digital,Center,English,Broad national reach; Gannett-owned,http://rssfeeds.usatoday.com/usatoday-NewsTopStories
North America,United States,Los Angeles Times,Newspaper / Digital,Center-Left,English,Major West Coast paper,https://www.latimes.com/world/rss2.0.xml
North America,United States,Chicago Tribune,Newspaper / Digital,Center,English,Major Midwest daily,https://www.chicagotribune.com/arcio/rss/
North America,United States,The Boston Globe,Newspaper / Digital,Center-Left,English,New England paper of record,https://www.bostonglobe.com/rss/headlines
North America,United States,San Francisco Chronicle,Newspaper / Digital,Center-Left,English,Bay Area focus,https://www.sfchronicle.com/news/rss
North America,United States,The Associated Press (AP),Wire Service,Center,English,Non-profit cooperative; global wire service,https://feeds.apnews.com/rss/apf-topnews
North America,United States,Reuters (US Bureau),Wire Service,Center,English,Global wire service; now Thomson Reuters,https://feeds.reuters.com/reuters/topNews
North America,United States,NPR,Public Radio / Digital,Center-Left,English,Publicly funded; in-depth reporting,https://feeds.npr.org/1001/rss.xml
North America,United States,PBS NewsHour,Public TV / Digital,Center-Left,English,Public television news,https://www.pbs.org/newshour/feeds/rss/headlines
North America,United States,CNN,Cable TV / Digital,Center-Left,English,24-hour cable news; Warner Bros. Discovery,http://rss.cnn.com/rss/edition.rss
North America,United States,MSNBC,Cable TV / Digital,Left,English,Progressive-leaning cable news; NBCUniversal,http://www.msnbc.com/feeds/latest
North America,United States,Fox News,Cable TV / Digital,Right,English,Conservative cable news; dominant ratings,https://moxie.foxnews.com/google-publisher/latest.xml
North America,United States,ABC News,Broadcast TV / Digital,Center-Left,English,Disney-owned network news,https://abcnews.go.com/abcnews/topstories
North America,United States,CBS News,Broadcast TV / Digital,Center,English,Paramount Global-owned,https://www.cbsnews.com/latest/rss/main
North America,United States,NBC News,Broadcast TV / Digital,Center-Left,English,NBCUniversal,https://feeds.nbcnews.com/nbcnews/public/news
North America,United States,Bloomberg,Financial News / Digital,Center,English,Terminal + media; business-centric,https://feeds.bloomberg.com/markets/news.rss
North America,United States,Politico,Digital,Center,English,DC-focused policy and politics,https://rss.politico.com/politics-news.xml
North America,United States,The Hill,Digital,Center,English,Congressional and policy coverage,https://thehill.com/feed/
North America,United States,Axios,Digital,Center,English,Short-form smart brevity style,https://api.axios.com/feed/
North America,United States,The Atlantic,Magazine / Digital,Center-Left,English,Long-form analysis and culture,https://www.theatlantic.com/feed/all/
North America,United States,The New Yorker,Magazine / Digital,Left,English,Literary journalism and commentary,https://www.newyorker.com/feed/news
North America,United States,Vox,Digital,Left,English,Explainer journalism,https://www.vox.com/rss/index.xml
North America,United States,HuffPost,Digital,Left,English,Progressive digital outlet,https://www.huffpost.com/section/front-page/feed
North America,United States,Mother Jones,Magazine / Digital,Left,English,Investigative; progressive nonprofit,https://www.motherjones.com/feed/
North America,United States,The Intercept,Digital,Left,English,Investigative; civil liberties focus,https://theintercept.com/feed/?rss
North America,United States,Democracy Now!,Digital / Radio,Far Left,English,Independent; progressive activism,https://www.democracynow.org/democracynow.rss
North America,United States,Jacobin,Magazine / Digital,Far Left,English,Socialist perspective,https://jacobin.com/feed/
North America,United States,The Nation,Magazine / Digital,Left,English,Oldest weekly; progressive,https://www.thenation.com/feed/?post_type=article
North America,United States,National Review,Magazine / Digital,Right,English,Founded by Buckley; conservative intellectual,https://www.nationalreview.com/feed/
North America,United States,The Daily Wire,Digital,Right,English,Conservative media; Ben Shapiro,https://www.dailywire.com/feeds/rss.xml
North America,United States,The Federalist,Digital,Right,English,Conservative commentary,https://thefederalist.com/feed/
North America,United States,Breitbart,Digital,Far Right,English,Right-wing populist,http://feeds.feedburner.com/breitbart
North America,United States,The Epoch Times,Newspaper / Digital,Far Right,English,Falun Gong-affiliated; conspiratorial content flagged,https://www.theepochtimes.com/feed
North America,United States,Newsmax,Cable TV / Digital,Right,English,Conservative alternative to Fox,https://www.newsmax.com/rss/Newsmax-Top-Newsstories/1/
North America,United States,One America News (OAN),Cable TV / Digital,Far Right,English,Far-right cable network,https://www.oann.com/feed/
North America,United States,The American Conservative,Magazine / Digital,Right,English,Paleoconservative / realist foreign policy,https://www.theamericanconservative.com/feed/
North America,United States,Reason,Magazine / Digital,Center-Right,English,Libertarian perspective,https://reason.com/feed/
North America,United States,ProPublica,Digital (Nonprofit),Center-Left,English,Investigative nonprofit; Pulitzer winners,https://feeds.propublica.org/propublica/main
North America,United States,The Marshall Project,Digital (Nonprofit),Center-Left,English,Criminal justice focused,https://www.themarshallproject.org/feeds/published
North America,United States,Foreign Affairs,Magazine / Digital,Center,English,CFR publication; geopolitics,https://www.foreignaffairs.com/rss.xml
North America,United States,Foreign Policy,Magazine / Digital,Center,English,International affairs analysis,https://foreignpolicy.com/feed/
North America,United States,The Dispatch,Digital,Center-Right,English,Conservative but anti-populist,https://thedispatch.com/feed/
North America,United States,Semafor,Digital,Center,English,Global news; transparency model,https://www.semafor.com/rss
North America,United States,The Free Press,Digital,Center-Right,English,Bari Weiss; heterodox commentary,https://www.thefp.com/feed
North America,United States,Univision,TV / Digital,Center-Left,Spanish,Largest Spanish-language US network,https://www.univision.com/noticias/rss
North America,United States,Telemundo,TV / Digital,Center,Spanish,NBCUniversal Spanish-language,https://feeds.telemundo.com/rss
North America,Canada,CBC News,Public Broadcaster,Center-Left,English / French,State-funded; national broadcaster,https://www.cbc.ca/cmlink/rss-topstories
North America,Canada,CTV News,TV / Digital,Center,English,Bell Media; largest private broadcaster,https://www.ctvnews.ca/rss/ctvnews-ca-top-stories-public-rss-1.822009
North America,Canada,Global News,TV / Digital,Center,English,Corus Entertainment,https://globalnews.ca/feed/
North America,Canada,The Globe and Mail,Newspaper / Digital,Center,English,National paper of record,https://www.theglobeandmail.com/arc/outboundfeeds/rss/
North America,Canada,National Post,Newspaper / Digital,Center-Right,English,Postmedia; conservative editorial,https://nationalpost.com/feed
North America,Canada,Toronto Star,Newspaper / Digital,Center-Left,English,Canada's largest daily,https://www.thestar.com/content/thestar/feed.RSSManagerServlet.articles.topstories.rss
North America,Canada,La Presse,Digital,Center-Left,French,Montreal-based; nonprofit since 2018,https://www.lapresse.ca/?feed=rss2
North America,Canada,Le Devoir,Newspaper / Digital,Center-Left,French,Quebec intellectual daily,https://www.ledevoir.com/rss.xml
North America,Canada,The Walrus,Magazine / Digital,Center-Left,English,Long-form Canadian affairs,https://thewalrus.ca/feed/
North America,Canada,Maclean's,Magazine / Digital,Center,English,National news magazine,https://macleans.ca/feed/
North America,Canada,Rebel News,Digital,Far Right,English,Right-wing populist outlet,https://www.rebelnews.com/feed
North America,Canada,The Narwhal,Digital (Nonprofit),Center-Left,English,Environmental investigative,https://thenarwhal.ca/feed/
North America,Canada,iPolitics,Digital,Center,English,Ottawa political coverage,https://www.ipolitics.ca/feed/
North America,Canada,The Tyee,Digital (Nonprofit),Left,English,BC-based independent,https://thetyee.ca/feed/
North America,Canada,Western Standard,Digital,Right,English,Alberta-based conservative,https://www.westernstandard.news/feed
North America,Mexico,El Universal,Newspaper / Digital,Center,Spanish,One of oldest Mexican dailies,https://www.eluniversal.com.mx/rss.xml
North America,Mexico,Reforma,Newspaper / Digital,Center-Right,Spanish,Independent quality daily,https://www.reforma.com/rss/portada.xml
North America,Mexico,La Jornada,Newspaper / Digital,Left,Spanish,Left-leaning; UNAM-connected,https://www.jornada.com.mx/rss/edicion.xml
North America,Mexico,Milenio,Newspaper / Digital,Center,Spanish,Multiplatform media group,https://www.milenio.com/rss
North America,Mexico,Proceso,Magazine / Digital,Left,Spanish,Investigative; critical of government,https://www.proceso.com.mx/rss/
North America,Mexico,Animal Político,Digital,Center-Left,Spanish,Investigative digital outlet,https://www.animalpolitico.com/feed
North America,Mexico,Aristegui Noticias,Digital / Radio,Center-Left,Spanish,Carmen Aristegui; investigative,https://aristeguinoticias.com/feed/
North America,Mexico,Televisa / N+,TV / Digital,Center-Right,Spanish,Dominant TV network,https://feeds.feedburner.com/nmas/general
North America,Mexico,TV Azteca,TV / Digital,Center-Right,Spanish,Second largest TV network; Salinas Pliego,https://www.tvazteca.com/aztecanoticias/rss-gpc-seo-noticias.rss
North America,Mexico,SinEmbargo,Digital,Left,Spanish,Digital; government-critical,https://www.sinembargo.mx/feed
North America,Mexico,Nexos,Magazine / Digital,Center-Left,Spanish,Intellectual/political analysis,https://www.nexos.com.mx/feed/
North America,Guatemala,Prensa Libre,Newspaper / Digital,Center-Right,Spanish,Largest Guatemalan daily,https://www.prensalibre.com/feed/
North America,Guatemala,elPeriódico,Newspaper / Digital,Center-Left,Spanish,Investigative; editor imprisoned (2022),
North America,Guatemala,Nómada,Digital,Center-Left,Spanish,Investigative digital,https://nomada.gt/feed/
North America,Honduras,El Heraldo,Newspaper / Digital,Center-Right,Spanish,Major daily,https://www.elheraldo.hn/rss
North America,Honduras,La Prensa,Newspaper / Digital,Center-Right,Spanish,San Pedro Sula based,
North America,Honduras,Contracorriente,Digital,Center-Left,Spanish,Independent investigative,https://contracorriente.red/feed/
North America,El Salvador,El Diario de Hoy,Newspaper / Digital,Center-Right,Spanish,Major daily,https://www.elsalvador.com/feed
North America,El Salvador,La Prensa Gráfica,Newspaper / Digital,Center,Spanish,Largest circulation,https://www.laprensagrafica.com/rss.xml
North America,El Salvador,El Faro,Digital,Center-Left,Spanish,Award-winning investigative; critical of Bukele,https://elfaro.net/news/feed
North America,Nicaragua,Confidencial,Digital,Center-Left,Spanish,Carlos Fernando Chamorro; exiled,https://confidencial.digital/feed
North America,Nicaragua,La Prensa,Newspaper / Digital,Center-Right,Spanish,Historic opposition daily; raided by govt,
North America,Costa Rica,La Nación,Newspaper / Digital,Center-Right,Spanish,Leading daily,https://www.lanacion.com.ar/arcio/rss/
North America,Costa Rica,Semanario Universidad,Newspaper / Digital,Center-Left,Spanish,UCR weekly,https://semanariouniversidad.com/feed
North America,Panama,La Prensa,Newspaper / Digital,Center,Spanish,Largest Panamanian daily,
North America,Panama,La Estrella de Panamá,Newspaper / Digital,Center,Spanish,Oldest running paper,
North America,Cuba,Granma,Newspaper / Digital,State-Controlled,Spanish,Official Communist Party organ,http://www.granma.cu/feed
North America,Cuba,14ymedio,Digital,Center-Right,Spanish,Independent; Yoani Sánchez; dissident,https://www.14ymedio.com/rss/
North America,Cuba,CubaNet,Digital,Right,Spanish,Miami-based exile media,https://www.cubanet.org/feed/
North America,Dominican Republic,Listín Diario,Newspaper / Digital,Center,Spanish,Oldest daily,https://listindiario.com/feed
North America,Dominican Republic,Diario Libre,Newspaper / Digital,Center,Spanish,Free daily; large circulation,https://www.diariolibre.com/rss/portada.xml
North America,Haiti,Le Nouvelliste,Newspaper / Digital,Center,French,Oldest Haitian daily,https://lenouvelliste.com/rss.xml
North America,Haiti,AyiboPost,Digital,Center-Left,French / Creole,Independent digital,
North America,Jamaica,The Gleaner,Newspaper / Digital,Center,English,Oldest English Caribbean paper (1834),https://jamaica-gleaner.com/rss
North America,Jamaica,Jamaica Observer,Newspaper / Digital,Center,English,Second national daily,https://www.jamaicaobserver.com/feed
North America,Trinidad & Tobago,Trinidad Express,Newspaper / Digital,Center,English,Major daily,
North America,Trinidad & Tobago,Newsday,Newspaper / Digital,Center,English,Independent daily,
North America,Belize,Amandala,Newspaper,Center-Left,English,Largest Belizean paper,https://amandala.com.bz/news/feed/
South America,Brazil,Folha de S.Paulo,Newspaper / Digital,Center-Left,Portuguese,Largest circulation Brazilian daily,https://feeds.folha.uol.com.br/emcimadahora/rss091.xml
South America,Brazil,O Globo,Newspaper / Digital,Center-Right,Portuguese,Grupo Globo; Rio-based,https://oglobo.globo.com/rss.xml
South America,Brazil,O Estado de S. Paulo (Estadão),Newspaper / Digital,Center-Right,Portuguese,Quality broadsheet; São Paulo,https://www.estadao.com.br/rss/ultimas-noticias
South America,Brazil,Valor Econômico,Newspaper / Digital,Center,Portuguese,Business/financial daily,https://valor.globo.com/rss.xml
South America,Brazil,TV Globo,TV / Digital,Center-Right,Portuguese,Dominant Brazilian broadcaster,https://g1.globo.com/rss/g1/
South America,Brazil,Agência Brasil,Wire Service,State-Controlled,Portuguese,Government news agency (EBC),https://agenciabrasil.ebc.com.br/rss/ultimasnoticias/feed.xml
South America,Brazil,The Intercept Brasil,Digital,Left,Portuguese,Investigative; Glenn Greenwald co-founded,https://theintercept.com/brasil/feed/?rss
South America,Brazil,Revista Piauí,Magazine / Digital,Center-Left,Portuguese,Long-form journalism,https://piaui.folha.uol.com.br/feed
South America,Brazil,Brasil de Fato,Digital,Far Left,Portuguese,MST-affiliated; social movements,https://www.brasildefato.com.br/feeds/rss/en
South America,Brazil,Jovem Pan,Radio / Digital,Right,Portuguese,Conservative radio/digital,https://jovempan.com.br/feed
South America,Brazil,Revista Oeste,Magazine / Digital,Right,Portuguese,Conservative magazine,https://revistaoeste.com/feed
South America,Brazil,UOL,Digital,Center,Portuguese,Major portal; Grupo Folha,https://rss.home.uol.com.br/index.xml
South America,Brazil,Nexo Jornal,Digital,Center-Left,Portuguese,Explanatory journalism,https://www.nexojornal.com.br/feeds/rss
South America,Argentina,Clarín,Newspaper / Digital,Center-Right,Spanish,Largest Argentine daily; Grupo Clarín,https://www.clarin.com/rss/ultimo-momento/
South America,Argentina,La Nación,Newspaper / Digital,Center-Right,Spanish,Conservative broadsheet,https://www.lanacion.com.ar/arcio/rss/
South America,Argentina,Página/12,Newspaper / Digital,Left,Spanish,Left/Kirchnerist perspective,https://www.pagina12.com.ar/rss
South America,Argentina,Infobae,Digital,Center,Spanish,Largest Spanish-language digital,https://www.infobae.com/feeds/rss/
South America,Argentina,Perfil,Newspaper / Digital,Center,Spanish,Sunday paper; centrist,https://www.perfil.com/feed
